# mode: 0
# n_modes: 20
# index_normalization:   4.74323422e+00
# eofs_start_date: 19790101
# eofs_end_date: 20011201
# loading_pattern_input_file: nnr1.skt.sfc.gauss.19480101_20191231.anom.month.19790101_20011230.nc
# anomalies_input_file: nnr1.skt.sfc.gauss.19480101_20191231.anom.month.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# calendar: proleptic_gregorian
date,iod_index
1981-05-01, -4.65244279e-01
1981-06-01, -1.55329826e-01
1981-07-01, -4.64526652e-01
1981-08-01, -4.42825996e-01
1981-09-01, -2.29945826e-01
1981-10-01, -9.27361105e-02
1981-11-01, -7.27679615e-01
1981-12-01, -7.89119533e-01
1982-01-01, -6.69183836e-01
1982-02-01, -2.87694664e-01
1982-03-01, -4.01642198e-01
1982-04-01, -6.41279067e-03
1982-05-01,  7.55198793e-01
1982-06-01,  8.00725750e-01
1982-07-01,  5.36542558e-01
1982-08-01,  7.58708196e-01
1982-09-01,  9.40851292e-01
1982-10-01,  1.48589103e+00
1982-11-01,  1.57413219e+00
1982-12-01,  8.36807660e-01
1983-01-01,  5.89595127e-03
1983-02-01,  4.12407804e-01
1983-03-01, -2.98150032e-01
1983-04-01, -5.41203367e-01
1983-05-01,  6.23431915e-02
1983-06-01,  1.33215643e+00
1983-07-01,  1.47901576e+00
1983-08-01,  1.58710204e+00
1983-09-01,  7.47931404e-01
1983-10-01, -7.83165441e-03
1983-11-01, -6.18104935e-01
1983-12-01, -6.43397530e-01
1984-01-01, -6.79419091e-01
1984-02-01, -1.72113640e+00
1984-03-01, -9.41671743e-01
1984-04-01, -3.12797162e-02
1984-05-01, -1.86766742e+00
1984-06-01, -1.65306019e+00
1984-07-01, -1.88846186e+00
1984-08-01, -1.64835386e+00
1984-09-01, -1.56020929e+00
1984-10-01, -1.38787296e+00
1984-11-01, -1.14258767e+00
1984-12-01, -1.04361418e+00
1985-01-01, -9.73842559e-01
1985-02-01, -8.71969656e-01
1985-03-01, -8.82378021e-01
1985-04-01, -5.99670559e-01
1985-05-01, -4.98918523e-01
1985-06-01, -1.58075770e+00
1985-07-01, -8.79028945e-01
1985-08-01, -6.62955540e-01
1985-09-01, -3.96936680e-01
1985-10-01, -1.16492926e+00
1985-11-01, -1.02541215e+00
1985-12-01, -6.01942694e-01
1986-01-01, -1.01935118e+00
1986-02-01, -3.26758450e-01
1986-03-01, -5.16473929e-01
1986-04-01, -4.52543232e-01
1986-05-01, -6.31519365e-02
1986-06-01,  2.86342164e-02
1986-07-01, -7.32517469e-01
1986-08-01, -6.45707490e-01
1986-09-01, -6.93391248e-01
1986-10-01, -5.91360900e-02
1986-11-01,  2.38765930e-01
1986-12-01,  1.46161987e-01
1987-01-01, -6.13506215e-01
1987-02-01, -2.35344957e-01
1987-03-01,  3.03476466e-01
1987-04-01,  1.81507183e-01
1987-05-01,  1.10552756e+00
1987-06-01,  6.68719368e-01
1987-07-01,  1.09889172e+00
1987-08-01,  1.60895928e+00
1987-09-01,  2.25732795e+00
1987-10-01,  1.37724420e+00
1987-11-01,  1.02295278e+00
1987-12-01,  6.15725069e-01
1988-01-01,  1.13253072e+00
1988-02-01,  1.51449557e+00
1988-03-01,  1.76308999e+00
1988-04-01,  1.01360790e+00
1988-05-01, -3.05086773e-01
1988-06-01, -2.15792352e-01
1988-07-01,  2.36970431e-01
1988-08-01,  1.00017710e+00
1988-09-01,  1.01991537e+00
1988-10-01,  5.64413936e-01
1988-11-01, -8.81202473e-02
1988-12-01,  1.00822732e-01
1989-01-01, -1.11440650e+00
1989-02-01, -3.61948823e-01
1989-03-01, -8.46625752e-01
1989-04-01, -1.43410179e+00
1989-05-01, -1.53296912e+00
1989-06-01, -2.33955988e+00
1989-07-01, -1.61425829e+00
1989-08-01, -1.59505816e+00
1989-09-01, -7.94192933e-01
1989-10-01, -3.45872667e-01
1989-11-01, -3.15820227e-01
1989-12-01, -2.17606201e-01
1990-01-01,  1.14994399e-01
1990-02-01,  8.33037704e-01
1990-03-01,  3.38614538e-01
1990-04-01, -4.61403153e-01
1990-05-01, -7.17135382e-01
1990-06-01, -1.05726917e+00
1990-07-01,  5.70920982e-02
1990-08-01, -2.65084142e-01
1990-09-01, -3.62109167e-01
1990-10-01, -3.62480062e-01
1990-11-01,  6.97548571e-02
1990-12-01,  4.48508969e-01
1991-01-01,  5.82248056e-01
1991-02-01,  2.98008907e-01
1991-03-01,  7.31026149e-01
1991-04-01,  1.96661490e+00
1991-05-01,  1.84083408e+00
1991-06-01,  1.03063522e+00
1991-07-01,  1.16163317e+00
1991-08-01,  6.19010512e-01
1991-09-01,  9.90436022e-01
1991-10-01,  1.00425439e+00
1991-11-01,  1.00385925e+00
1991-12-01,  3.34889711e-01
1992-01-01,  2.33221891e-01
1992-02-01, -9.35626854e-02
1992-03-01, -9.77555490e-01
1992-04-01, -6.39237844e-01
1992-05-01, -3.74919133e-01
1992-06-01, -7.26596216e-01
1992-07-01,  1.21898783e-01
1992-08-01, -1.09309743e+00
1992-09-01, -1.52935095e+00
1992-10-01, -1.22402875e+00
1992-11-01, -1.04671015e+00
1992-12-01, -1.26775519e+00
1993-01-01, -8.45576181e-01
1993-02-01, -5.49022536e-02
1993-03-01, -2.96121348e-01
1993-04-01, -1.85108618e-01
1993-05-01,  3.10617556e-01
1993-06-01,  1.54082126e-01
1993-07-01, -4.44792530e-01
1993-08-01, -3.75436130e-01
1993-09-01, -9.29707011e-01
1993-10-01, -7.72449204e-01
1993-11-01, -8.30067658e-02
1993-12-01, -2.78982833e-01
1994-01-01,  1.57698847e-01
1994-02-01, -7.20499699e-01
1994-03-01, -6.23860201e-02
1994-04-01,  5.50720845e-01
1994-05-01,  1.03150326e+00
