# mode: 0
# n_modes: 10
# loading_pattern_sst_input_file: nnr1.skt.sfc.gauss.19480101_20191231.2.5x2.5.anom.seasonal.19790101_20011230.nc
# loading_pattern_mslp_input_file: nnr1.slp.19480101_20200530.2.5x2.5.anom.seasonal.19790101_20011230.nc
# loading_pattern_uwnd_input_file: nnr1.uwnd.sig995.19480101_20200530.2.5x2.5.anom.seasonal.19790101_20011230.nc
# loading_pattern_vwnd_input_file: nnr1.vwnd.sig995.19480101_20200530.2.5x2.5.anom.seasonal.19790101_20011230.nc
# loading_pattern_olr_input_file: nnr1.ulwrf.ntat.gauss.19480101_20200530.2.5x2.5.anom.seasonal.19790101_20011230.nc
# seasonal_sst_anomalies_input_file: nnr1.skt.sfc.gauss.19480101_20191231.2.5x2.5.anom.seasonal.19790101_20011230.nc
# seasonal_mslp_anomalies_input_file: nnr1.slp.19480101_20200530.2.5x2.5.anom.seasonal.19790101_20011230.nc
# seasonal_uwnd_anomalies_input_file: nnr1.uwnd.sig995.19480101_20200530.2.5x2.5.anom.seasonal.19790101_20011230.nc
# seasonal_vwnd_anomalies_input_file: nnr1.vwnd.sig995.19480101_20200530.2.5x2.5.anom.seasonal.19790101_20011230.nc
# seasonal_olr_anomalies_input_file: nnr1.ulwrf.ntat.gauss.19480101_20200530.2.5x2.5.anom.seasonal.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# calendar: proleptic_gregorian
date,mei
1961-08-01,  4.37920507e-01
1961-09-01,  1.44588424e-01
1961-10-01, -9.37832067e-02
1961-11-01, -3.35521900e-01
1961-12-01, -3.49348978e-01
1962-01-01, -7.99203823e-01
1962-02-01, -6.75243241e-01
1962-03-01, -4.92818393e-01
1962-04-01, -8.19877321e-01
1962-05-01, -9.45727098e-01
1962-06-01, -4.13226681e-01
1962-07-01,  2.31744497e-01
1962-08-01,  1.04900378e-01
1962-09-01, -2.79413342e-01
1962-10-01, -6.18484006e-01
1962-11-01, -5.31367290e-01
1962-12-01, -3.60756902e-01
1963-01-01, -5.87301918e-01
1963-02-01, -5.44878937e-01
1963-03-01, -5.38756247e-01
1963-04-01, -7.23175665e-01
1963-05-01, -4.34399038e-01
1963-06-01,  6.35844826e-01
1963-07-01,  9.81666956e-01
1963-08-01,  1.12406680e+00
1963-09-01,  9.20142150e-01
1963-10-01,  7.21872152e-01
1963-11-01,  5.58851140e-01
1963-12-01,  5.28975006e-01
1964-01-01,  3.95774708e-01
1964-02-01,  6.82889972e-02
1964-03-01, -3.84629671e-01
1964-04-01, -7.98818906e-01
1964-05-01, -1.15356943e+00
1964-06-01, -8.03742231e-01
1964-07-01, -4.84881531e-01
1964-08-01, -5.32040198e-01
1964-09-01, -6.43417356e-01
1964-10-01, -8.64882297e-01
1964-11-01, -8.38547078e-01
1964-12-01, -6.25024168e-01
1965-01-01, -3.11155360e-01
1965-02-01, -1.29756033e-01
1965-03-01, -1.73747216e-01
1965-04-01,  2.30125094e-03
1965-05-01,  2.76603688e-01
1965-06-01,  1.03287308e+00
1965-07-01,  1.37841117e+00
1965-08-01,  1.50784461e+00
1965-09-01,  1.09796968e+00
1965-10-01,  9.06344022e-01
1965-11-01,  1.36470293e+00
1965-12-01,  1.30999600e+00
1966-01-01,  1.03432879e+00
1966-02-01,  7.37252594e-01
1966-03-01,  2.99221127e-01
