# mode: 0
# n_modes: 10
# eofs_start_date: 19790101
# eofs_end_date: 20011201
# rotated: False
# loading_pattern_input_file: nnr1.hgt.500.19480101_20200530.anom.month.19790101_20011230.nc
# anomalies_input_file: nnr1.hgt.500.19480101_20200530.anom.month.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# calendar: proleptic_gregorian
date,pna_index
1968-10-01,  8.31139179e-01
1968-11-01,  1.75478545e+00
1968-12-01, -1.05105829e+00
1969-01-01, -1.59696661e+00
1969-02-01,  6.69032848e-01
1969-03-01, -2.46362598e-01
1969-04-01,  3.39890086e-01
1969-05-01,  2.02626573e-01
1969-06-01,  2.94642080e-01
1969-07-01, -2.76315317e-01
1969-08-01,  7.05541439e-02
1969-09-01,  4.74952643e-01
1969-10-01,  1.12995372e+00
1969-11-01,  6.99542246e-01
1969-12-01,  2.80101825e+00
1970-01-01,  4.72595199e-01
1970-02-01,  1.25464952e+00
1970-03-01,  9.85519620e-01
1970-04-01, -8.23993625e-01
1970-05-01, -6.60902136e-01
1970-06-01,  2.44260287e-01
1970-07-01,  4.17678971e-01
1970-08-01, -3.25420531e-02
1970-09-01, -4.23460080e-01
1970-10-01, -1.74866772e-01
1970-11-01, -1.19201906e+00
1970-12-01, -1.52796252e+00
1971-01-01, -2.09701595e+00
1971-02-01, -1.60581632e-01
1971-03-01,  1.43981554e-01
1971-04-01,  7.70132318e-02
1971-05-01,  5.13666457e-01
1971-06-01,  2.46346776e-01
1971-07-01,  1.80673735e-01
1971-08-01,  2.45088301e-01
1971-09-01, -3.40622240e-01
1971-10-01, -6.03286087e-01
1971-11-01, -1.90624461e-01
1971-12-01, -2.64157803e+00
1972-01-01, -3.30712739e+00
1972-02-01, -1.97193533e+00
1972-03-01, -2.74471963e-01
1972-04-01, -1.84755794e+00
1972-05-01, -4.91259449e-02
1972-06-01,  6.13409915e-03
1972-07-01,  1.57981557e-01
1972-08-01,  5.48892097e-01
1972-09-01, -8.62915034e-01
1972-10-01, -5.14901180e-01
1972-11-01,  6.15599114e-01
1972-12-01, -1.41549473e+00
1973-01-01, -4.22597435e-01
1973-02-01,  2.77096525e-01
1973-03-01, -4.96108288e-01
1973-04-01, -1.80780978e-01
1973-05-01,  6.25311270e-01
1973-06-01,  5.32186693e-01
1973-07-01,  3.65264660e-01
1973-08-01,  1.78208415e-01
1973-09-01,  5.33182568e-01
1973-10-01, -1.77046458e-01
1973-11-01, -1.21606411e+00
1973-12-01,  9.05335594e-01
1974-01-01, -2.47746250e+00
1974-02-01, -1.04614073e+00
1974-03-01, -6.56465543e-01
1974-04-01, -3.69212544e-01
1974-05-01, -2.33049472e-01
1974-06-01,  2.86990870e-02
1974-07-01,  6.60890230e-01
1974-08-01,  3.91966971e-01
1974-09-01, -4.99280183e-01
1974-10-01,  9.53511372e-01
1974-11-01,  7.36854995e-01
1974-12-01,  1.03798371e+00
1975-01-01, -1.96298098e+00
1975-02-01, -3.33752727e-01
1975-03-01, -1.10994670e+00
1975-04-01, -1.02016514e+00
1975-05-01,  3.40402676e-01
1975-06-01,  5.53507459e-02
1975-07-01,  3.81913283e-01
1975-08-01, -1.26834487e-01
1975-09-01, -1.31428448e-01
1975-10-01, -3.85202792e-01
1975-11-01, -5.16551977e-01
1975-12-01, -2.06926179e-01
1976-01-01, -2.47928505e-01
1976-02-01, -2.11769314e+00
1976-03-01, -1.74822984e+00
1976-04-01,  5.26382000e-01
1976-05-01,  3.14847189e-01
1976-06-01, -2.16728534e-01
1976-07-01,  1.08820362e+00
1976-08-01,  5.19809961e-01
1976-09-01,  1.16841552e+00
1976-10-01,  6.47916098e-01
1976-11-01,  1.54071957e+00
1976-12-01,  6.18233661e-01
1977-01-01,  1.90196679e+00
1977-02-01,  2.33216126e+00
1977-03-01, -1.41122022e+00
1977-04-01, -6.12975440e-01
1977-05-01,  3.65638891e-01
1977-06-01,  4.36109389e-01
1977-07-01, -1.60533159e-01
1977-08-01,  2.66429169e-01
1977-09-01, -9.56288193e-01
1977-10-01,  5.44832435e-01
1977-11-01,  2.31216706e-01
1977-12-01, -5.61172387e-01
1978-01-01,  1.14954378e+00
1978-02-01,  3.29365011e+00
1978-03-01, -1.65027237e-01
1978-04-01, -1.35111956e-01
1978-05-01, -4.82103593e-01
1978-06-01, -1.27867842e+00
1978-07-01, -1.88140650e-01
1978-08-01, -2.75983423e-01
