# mode: 0
# n_modes: 20
# low_latitude_boundary:  -2.00000000e+01
# index_normalization:   9.64249207e+02
# eofs_start_date: 19790101
# eofs_end_date: 20011201
# loading_pattern_input_file: nnr1.hgt.500.19480101_20200530.anom.month.19790101_20011230.nc
# anomalies_input_file: nnr1.hgt.500.19480101_20200530.anom.month.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# calendar: proleptic_gregorian
date,sam_index
1977-10-01, -5.00607398e-02
1977-11-01, -1.73871392e-01
1977-12-01, -6.48578453e-01
1978-01-01,  4.63263259e-01
1978-02-01, -4.58726582e-02
1978-03-01, -6.72508836e-01
1978-04-01,  6.51230892e-02
1978-05-01, -6.59020181e-01
1978-06-01,  2.12144434e-02
1978-07-01, -1.48129199e+00
1978-08-01,  1.62192463e+00
1978-09-01,  1.32470165e+00
1978-10-01,  1.82361385e-01
1978-11-01, -6.52083911e-01
1978-12-01,  1.09205204e-01
1979-01-01,  1.05249306e-01
1979-02-01,  4.42741390e-01
1979-03-01,  7.84557656e-01
1979-04-01,  5.67465121e-01
1979-05-01,  4.81864235e-01
1979-06-01,  1.87317047e+00
1979-07-01,  2.55044275e+00
1979-08-01,  8.23301429e-01
1979-09-01,  7.29029349e-01
1979-10-01,  1.58714192e-03
1979-11-01, -2.84036605e-01
1979-12-01, -1.12400805e+00
1980-01-01, -5.28870667e-01
1980-02-01, -7.23159999e-01
1980-03-01, -1.60972134e+00
1980-04-01, -2.07762202e+00
1980-05-01, -5.02800587e-01
1980-06-01,  4.38539211e-01
1980-07-01, -2.04174169e+00
1980-08-01, -1.23164133e+00
1980-09-01, -1.69125036e+00
1980-10-01,  4.89970024e-01
1980-11-01, -1.85085818e+00
1980-12-01, -3.61384718e-01
1981-01-01,  3.17076710e-01
1981-02-01,  9.03141666e-02
1981-03-01, -9.90326833e-01
1981-04-01, -1.08262500e+00
1981-05-01, -2.08467639e-01
1981-06-01,  5.80420630e-01
1981-07-01, -8.49695628e-01
1981-08-01, -2.00750497e+00
1981-09-01, -1.59067458e+00
1981-10-01, -4.01434001e-01
1981-11-01,  8.96511964e-01
1981-12-01,  7.98285779e-01
1982-01-01, -5.87260240e-01
1982-02-01,  3.92268417e-01
1982-03-01,  1.72254703e+00
1982-04-01,  1.90044497e+00
1982-05-01,  1.11789992e-01
1982-06-01,  1.07413053e+00
1982-07-01, -4.12303060e-01
1982-08-01,  9.00442235e-01
1982-09-01,  1.74636164e+00
1982-10-01, -7.61759704e-01
1982-11-01, -8.88220436e-01
1982-12-01, -2.10476983e+00
1983-01-01, -1.46973302e+00
1983-02-01, -1.11655917e+00
1983-03-01,  9.09478394e-02
1983-04-01,  1.99909412e-01
1983-05-01, -5.56067847e-01
1983-06-01, -2.80638285e-01
1983-07-01,  1.37584075e+00
1983-08-01,  7.32091042e-01
1983-09-01, -8.42510012e-01
1983-10-01,  1.09889144e+00
1983-11-01,  1.14002286e+00
1983-12-01,  2.58177781e-01
1984-01-01, -1.20316009e+00
1984-02-01, -4.14263035e-01
1984-03-01, -1.75781887e-02
1984-04-01, -2.02361873e-01
1984-05-01, -1.64592704e+00
1984-06-01,  5.55280618e-01
1984-07-01,  1.06246492e+00
1984-08-01, -4.25803268e-01
1984-09-01,  6.66620554e-01
1984-10-01, -8.86332794e-02
1984-11-01,  5.91574439e-02
1984-12-01, -1.38798067e+00
1985-01-01, -7.61519225e-01
1985-02-01,  3.68317228e-01
1985-03-01, -3.07193262e-01
1985-04-01,  2.88419915e-02
1985-05-01, -9.65536141e-03
1985-06-01, -3.19138854e-01
1985-07-01,  1.78817821e+00
1985-08-01,  4.61614669e-01
1985-09-01,  1.57619305e+00
1985-10-01,  2.61784328e-01
1985-11-01,  9.14401596e-01
1985-12-01,  1.02312180e+00
1986-01-01,  6.23250846e-02
1986-02-01, -1.54881242e+00
1986-03-01, -8.79656108e-01
1986-04-01, -7.13337920e-02
1986-05-01, -1.72711242e+00
1986-06-01, -1.57294959e-02
1986-07-01,  1.24404233e-01
1986-08-01, -9.13834479e-02
1986-09-01,  7.47773394e-01
1986-10-01,  8.76020101e-02
1986-11-01, -2.99257869e-01
1986-12-01,  6.21593979e-01
1987-01-01, -8.21235904e-01
1987-02-01, -6.52183557e-01
1987-03-01, -3.04553168e-01
1987-04-01, -1.15830391e-01
1987-05-01,  7.22500059e-02
1987-06-01, -6.66912398e-01
1987-07-01, -1.49740197e+00
1987-08-01,  1.48897437e+00
1987-09-01, -7.65281878e-01
1987-10-01,  1.30580029e-01
1987-11-01,  1.08684595e+00
1987-12-01,  7.23592045e-02
1988-01-01, -7.72441360e-01
1988-02-01,  6.43231050e-01
1988-03-01, -4.29901067e-01
1988-04-01, -2.51846657e-01
1988-05-01, -8.58852590e-01
1988-06-01, -9.56985568e-01
1988-07-01,  3.13278226e-01
1988-08-01, -1.08988652e+00
1988-09-01, -7.93296146e-01
1988-10-01, -2.29998842e+00
1988-11-01,  5.80740467e-01
1988-12-01,  8.91424539e-01
1989-01-01,  7.89689837e-01
1989-02-01,  8.46134354e-01
1989-03-01,  5.73903393e-01
1989-04-01, -5.06786152e-01
1989-05-01,  2.71345053e+00
1989-06-01,  2.13589801e+00
1989-07-01,  1.46510340e+00
1989-08-01,  4.66784932e-04
1989-09-01, -1.06399120e-01
1989-10-01, -1.92733094e-02
1989-11-01,  8.37371911e-01
1989-12-01, -6.75160910e-01
1990-01-01, -4.84318651e-01
1990-02-01,  1.14756034e+00
1990-03-01,  4.54671740e-01
1990-04-01, -1.77121356e+00
1990-05-01, -1.66651272e+00
1990-06-01,  4.65220133e-01
1990-07-01, -1.23142624e+00
1990-08-01,  5.28652623e-01
1990-09-01,  1.36735604e+00
1990-10-01,  4.63065715e-02
1990-11-01, -3.12988423e-01
1990-12-01, -6.46298440e-01
1991-01-01,  8.81203983e-01
1991-02-01, -8.80949628e-01
1991-03-01,  4.96758483e-01
1991-04-01, -6.69776356e-01
1991-05-01, -6.40584488e-01
1991-06-01, -1.16090884e+00
1991-07-01, -1.37424685e+00
1991-08-01, -1.68828105e-01
1991-09-01, -3.46971475e-01
1991-10-01, -8.33832569e-01
1991-11-01, -6.17206497e-01
1991-12-01, -2.24257456e+00
1992-01-01,  1.56401063e-01
1992-02-01, -1.60321163e+00
1992-03-01, -1.28983841e+00
1992-04-01, -3.50352635e-01
1992-05-01, -2.06663865e+00
1992-06-01, -2.02923022e+00
1992-07-01, -7.27421360e-01
1992-08-01, -4.68396703e-01
1992-09-01,  7.63590365e-01
1992-10-01, -2.49248233e-01
1992-11-01,  4.13476710e-01
1992-12-01,  1.61755768e-01
1993-01-01, -2.00950893e+00
1993-02-01,  4.35364819e-01
1993-03-01, -5.31615695e-01
1993-04-01,  1.45767566e-01
1993-05-01,  1.38594778e+00
1993-06-01,  1.29625411e+00
1993-07-01,  1.87729645e+00
1993-08-01,  8.35243746e-01
1993-09-01,  8.15434670e-01
1993-10-01,  4.37876826e-01
1993-11-01,  4.76759868e-01
1993-12-01,  7.72972346e-01
1994-01-01,  8.04048273e-01
1994-02-01,  1.22880926e+00
1994-03-01,  4.24445986e-01
1994-04-01, -1.76659793e-01
1994-05-01, -8.99225604e-02
1994-06-01, -1.46421182e+00
1994-07-01, -6.64954685e-01
1994-08-01,  1.79977612e+00
1994-09-01, -9.47363435e-01
1994-10-01, -9.33817820e-01
1994-11-01, -6.14384783e-01
1994-12-01,  5.69099316e-01
1995-01-01,  1.47369687e+00
1995-02-01,  5.46378140e-01
1995-03-01, -2.51793018e-01
1995-04-01,  8.40246084e-01
1995-05-01,  1.29313452e+00
1995-06-01, -6.57706491e-01
1995-07-01, -3.08154887e+00
1995-08-01, -9.53842019e-01
1995-09-01,  1.10792223e+00
1995-10-01,  3.81488675e-02
1995-11-01,  1.69119689e-01
1995-12-01,  1.34964983e+00
1996-01-01,  5.31961636e-01
1996-02-01, -2.84278162e-01
1996-03-01,  5.12176217e-01
1996-04-01,  2.47461859e-02
1996-05-01,  1.19127912e+00
1996-06-01, -1.52153222e-01
1996-07-01,  9.16402455e-02
1996-08-01, -1.75266629e+00
1996-09-01, -1.08467851e+00
1996-10-01,  8.98384503e-01
1996-11-01, -1.45954120e+00
1996-12-01, -1.99678013e-01
1997-01-01,  6.43138600e-01
1997-02-01,  8.29648974e-02
1997-03-01,  5.19167358e-01
1997-04-01, -1.89161849e-01
1997-05-01,  9.96373922e-01
1997-06-01, -3.34325432e-01
1997-07-01,  8.32869227e-01
1997-08-01,  6.93096101e-01
1997-09-01,  5.30306256e-02
1997-10-01, -7.34927863e-01
1997-11-01, -1.79392540e+00
1997-12-01, -9.87931233e-01
1998-01-01,  4.41821283e-01
1998-02-01,  1.89674283e-01
1998-03-01,  7.33761509e-01
1998-04-01,  1.91348681e+00
1998-05-01, -4.32319386e-01
1998-06-01,  6.86740626e-01
1998-07-01,  1.26783551e+00
1998-08-01,  3.80312615e-01
1998-09-01, -2.76755345e-01
1998-10-01,  2.83711616e-01
1998-11-01,  7.90821617e-01
1998-12-01,  1.23121580e+00
1999-01-01,  1.15159723e+00
1999-02-01,  4.95331961e-01
1999-03-01,  1.54070498e-01
1999-04-01,  1.05907272e+00
1999-05-01,  1.50110330e+00
1999-06-01, -1.23910312e+00
1999-07-01,  2.26178331e-01
1999-08-01, -2.47066568e-01
1999-09-01, -2.52423923e-01
1999-10-01,  1.16368143e+00
1999-11-01,  1.09998324e+00
1999-12-01,  1.65125182e+00
2000-01-01,  1.37753588e+00
2000-02-01,  6.98957888e-01
2000-03-01,  3.51783403e-01
2000-04-01,  4.18012774e-01
2000-05-01,  1.08186754e+00
2000-06-01,  7.25650416e-04
2000-07-01,  4.94476276e-02
2000-08-01, -1.00240164e+00
2000-09-01, -1.86666579e+00
2000-10-01,  1.60666126e-01
2000-11-01, -1.50568329e+00
2000-12-01, -1.14687022e+00
2001-01-01, -9.76976748e-02
2001-02-01, -3.84630587e-01
2001-03-01, -2.06614034e-01
2001-04-01,  3.67576447e-01
2001-05-01, -4.24199647e-01
2001-06-01,  1.70663768e-01
2001-07-01, -1.14423954e+00
2001-08-01,  7.95449127e-01
2001-09-01,  9.90958661e-01
2001-10-01,  1.22372429e+00
2001-11-01,  1.16088935e+00
2001-12-01,  1.47574868e+00
2002-01-01,  7.85119274e-01
2002-02-01,  1.28139620e+00
2002-03-01, -2.04504610e+00
2002-04-01, -2.29832610e-02
2002-05-01, -3.18735226e+00
2002-06-01, -1.31616532e+00
2002-07-01, -6.66911457e-01
2002-08-01, -2.81017530e-01
2002-09-01, -9.27387848e-01
2002-10-01, -2.59524711e+00
2002-11-01, -7.80739933e-01
2002-12-01,  9.93550402e-01
2003-01-01, -1.01074019e+00
2003-02-01, -2.69548094e-01
2003-03-01, -1.79870588e-01
2003-04-01,  3.91424746e-02
2003-05-01,  2.35279147e-01
2003-06-01, -3.51020523e-01
2003-07-01,  5.63751160e-01
2003-08-01,  5.14863827e-01
2003-09-01, -3.00223163e-01
2003-10-01,  1.07327317e-01
2003-11-01, -6.80488976e-01
2003-12-01, -1.28113847e+00
2004-01-01,  8.17629393e-01
2004-02-01, -1.15756866e+00
2004-03-01,  1.49759973e-01
2004-04-01,  1.22354035e-01
2004-05-01,  3.07254571e-01
2004-06-01,  9.60806472e-01
2004-07-01,  1.62810709e+00
2004-08-01, -7.81816420e-02
2004-09-01,  1.58626230e-01
2004-10-01, -2.26127686e-01
2004-11-01, -9.96093439e-02
2004-12-01, -1.17613885e+00
2005-01-01, -2.58825104e-01
2005-02-01,  1.19114897e+00
2005-03-01, -2.32562911e-02
2005-04-01,  1.73371326e-01
2005-05-01, -3.68854408e-01
2005-06-01, -1.37476700e+00
2005-07-01, -4.29871467e-01
2005-08-01,  6.15537983e-02
2005-09-01,  9.32105860e-02
2005-10-01, -2.81920466e-01
2005-11-01, -4.61239766e-01
2005-12-01, -2.07147345e+00
2006-01-01,  3.77013183e-01
2006-02-01, -1.56499756e-01
2006-03-01,  2.26513234e-01
2006-04-01,  9.18611921e-02
2006-05-01,  1.70809544e+00
2006-06-01,  3.06875892e-01
2006-07-01,  7.60609580e-01
2006-08-01, -1.85114611e+00
2006-09-01, -3.85814191e-01
2006-10-01,  5.65187035e-01
2006-11-01, -2.66733277e-03
2006-12-01,  6.03825700e-01
2007-01-01, -1.96828737e-01
2007-02-01,  2.85980991e-02
2007-03-01, -7.76181960e-01
2007-04-01, -1.11225597e+00
2007-05-01, -9.02773061e-01
2007-06-01, -1.24930242e+00
2007-07-01, -2.65426591e+00
2007-08-01, -2.67927587e-01
2007-09-01,  8.44937430e-02
2007-10-01, -4.82610672e-01
2007-11-01, -9.14985943e-01
2007-12-01,  1.65700556e+00
2008-01-01,  1.16975617e+00
2008-02-01,  1.18842487e+00
2008-03-01,  4.43566227e-01
2008-04-01, -1.06620309e+00
2008-05-01, -5.72359405e-01
2008-06-01,  1.26581260e+00
2008-07-01,  2.12464684e-01
2008-08-01,  4.40084392e-02
2008-09-01,  1.27091017e+00
2008-10-01,  8.17865225e-01
2008-11-01,  9.00176871e-01
2008-12-01,  9.11541665e-01
2009-01-01,  8.48197889e-01
2009-02-01,  2.91920841e-01
2009-03-01,  2.90859914e-01
2009-04-01,  1.76761826e-01
2009-05-01, -8.57592751e-01
2009-06-01, -4.81853027e-01
2009-07-01, -1.51405591e+00
2009-08-01, -6.52524608e-01
2009-09-01,  1.17241640e-02
2009-10-01, -4.46647529e-02
2009-11-01, -1.77877246e+00
2009-12-01,  3.09273856e-01
2010-01-01, -6.88619319e-01
2010-02-01, -7.90596616e-01
2010-03-01, -1.85860107e-01
2010-04-01,  3.21316781e-01
2010-05-01,  8.96035584e-01
2010-06-01,  2.02274400e+00
2010-07-01,  2.19114292e+00
2010-08-01,  1.41790357e+00
2010-09-01,  2.30077640e-01
2010-10-01,  1.14927370e+00
2010-11-01,  1.69357660e+00
2010-12-01,  1.12752496e-01
2011-01-01,  2.34677767e-01
2011-02-01,  1.28193965e+00
2011-03-01, -2.14282359e-01
2011-04-01, -7.92691531e-01
2011-05-01,  1.12391020e+00
2011-06-01,  6.58836107e-02
2011-07-01, -1.55462566e+00
2011-08-01, -1.49077523e+00
2011-09-01, -1.21070105e+00
2011-10-01,  2.40392358e-01
2011-11-01, -7.38653551e-01
2011-12-01,  2.11525820e+00
