# mode: 0
# n_modes: 20
# low_latitude_boundary:   2.00000000e+01
# index_normalization:   7.62843323e+02
# eofs_start_date: 19790101
# eofs_end_date: 20011201
# loading_pattern_input_file: nnr1.hgt.500.19480101_20200530.anom.month.19790101_20011230.nc
# anomalies_input_file: nnr1.hgt.500.19480101_20200530.anom.month.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# calendar: proleptic_gregorian
date,ao_index
1970-07-01,  2.74300865e-02
1970-08-01, -2.51932358e-02
1970-09-01,  2.44157534e-01
1970-10-01, -3.10104156e-01
1970-11-01,  5.46975939e-01
1970-12-01, -9.47612998e-02
1971-01-01,  6.60796069e-01
1971-02-01, -5.45927289e-01
1971-03-01, -1.37223209e+00
1971-04-01, -4.30686766e-01
1971-05-01,  3.41260257e-01
1971-06-01, -9.33780521e-01
1971-07-01, -5.41960352e-01
1971-08-01,  2.47865634e-01
1971-09-01,  1.76094788e-01
1971-10-01,  1.28985177e+00
1971-11-01,  4.86978801e-02
1971-12-01,  1.72462107e+00
1972-01-01,  1.63153337e+00
1972-02-01,  8.19549338e-01
1972-03-01,  4.13147128e-01
1972-04-01,  1.45116528e+00
1972-05-01,  3.42038431e-01
1972-06-01,  2.70612616e-01
1972-07-01, -2.26734804e-01
1972-08-01, -2.08525067e-01
1972-09-01, -5.02906754e-01
1972-10-01,  1.51166649e-01
1972-11-01, -3.02787586e-01
1972-12-01,  1.70058113e+00
1973-01-01,  1.35307369e+00
1973-02-01,  2.15081473e-01
1973-03-01,  6.25914152e-01
1973-04-01, -1.28694238e+00
1973-05-01, -1.18372118e-01
1973-06-01,  1.41297176e-01
1973-07-01,  8.11756439e-02
1973-08-01, -6.43524137e-02
1973-09-01,  2.57912387e-01
1973-10-01,  8.67940047e-03
1973-11-01, -4.29569101e-01
1973-12-01, -8.23000223e-01
1974-01-01,  1.28848435e+00
1974-02-01,  7.20828497e-02
1974-03-01, -8.22540304e-03
1974-04-01,  3.16803695e-01
1974-05-01, -2.92522525e-01
1974-06-01, -1.03660766e-02
1974-07-01, -3.48527659e-01
1974-08-01, -6.30842696e-01
1974-09-01,  1.91374952e-01
1974-10-01, -1.71794410e+00
1974-11-01, -7.78778030e-02
1974-12-01,  3.89620663e-01
1975-01-01,  2.13766733e+00
1975-02-01,  2.46885651e-02
1975-03-01,  1.95755389e-01
1975-04-01,  1.26646806e-01
1975-05-01, -3.70602927e-01
1975-06-01, -3.44823845e-01
1975-07-01,  6.88811982e-02
1975-08-01, -5.27016927e-02
1975-09-01,  8.07784518e-01
1975-10-01,  4.09738089e-01
1975-11-01,  9.51053619e-01
1975-12-01,  7.91087120e-01
1976-01-01, -2.18200645e-01
1976-02-01,  2.01087384e+00
1976-03-01,  9.39061132e-01
1976-04-01,  3.82379782e-02
1976-05-01,  2.98730922e-02
1976-06-01,  4.68031490e-01
1976-07-01, -4.90939738e-01
1976-08-01, -7.15132550e-02
1976-09-01, -1.21803165e+00
1976-10-01, -2.69581844e-01
1976-11-01, -5.28807719e-01
1976-12-01, -1.84567824e+00
1977-01-01, -3.92848541e+00
1977-02-01, -2.21247078e+00
1977-03-01,  4.67427081e-01
