# mode: 0
# n_modes: 20
# index_normalization:   7.67726264e+00
# eofs_start_date: 19790101
# eofs_end_date: 20011201
# loading_pattern_input_file: fcst_surf125.118_brtmp.1958010100_2018123100.daily.anom.month.19790101_20011230.nc
# anomalies_input_file: fcst_surf125.118_brtmp.1958010100_2018123100.daily.anom.month.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# calendar: proleptic_gregorian
date,iod_index
1977-10-01,  6.73071776e-01
1977-11-01,  8.15833344e-01
1977-12-01,  5.11805043e-01
1978-01-01, -2.04508073e-01
1978-02-01,  3.12503838e-02
1978-03-01, -9.19709842e-01
1978-04-01, -3.97506323e-01
1978-05-01, -1.34924561e+00
1978-06-01, -1.01231318e+00
1978-07-01, -1.18656329e+00
1978-08-01, -1.31806803e+00
1978-09-01, -8.41881750e-01
1978-10-01, -4.78083143e-01
1978-11-01, -8.03849180e-01
1978-12-01, -1.27670625e+00
1979-01-01,  7.43508240e-01
1979-02-01,  1.62427607e-01
1979-03-01,  1.20235938e-01
1979-04-01, -2.61133193e-02
1979-05-01, -5.41474583e-01
1979-06-01,  5.67573177e-01
1979-07-01, -2.55354484e-01
1979-08-01, -7.41730014e-01
1979-09-01, -1.42772272e-01
1979-10-01,  4.14406972e-02
1979-11-01, -1.47274676e-01
1979-12-01,  5.29031030e-01
1980-01-01, -3.15962989e-02
1980-02-01, -3.28855434e-01
1980-03-01, -8.42382022e-01
1980-04-01,  3.97970912e-01
1980-05-01,  9.94734585e-01
1980-06-01, -1.08155647e-01
1980-07-01, -5.05274083e-01
1980-08-01, -6.22148959e-02
1980-09-01, -5.82522467e-01
1980-10-01, -4.66156755e-02
1980-11-01,  1.47378501e-01
1980-12-01, -3.85300152e-01
1981-01-01, -5.80746445e-01
1981-02-01, -3.64217820e-01
1981-03-01,  3.82961360e-01
1981-04-01, -3.78708267e-01
1981-05-01,  9.10200653e-02
1981-06-01, -4.82154620e-01
1981-07-01, -3.56087768e-01
1981-08-01, -3.80493721e-01
1981-09-01, -8.01169372e-01
1981-10-01,  2.12139111e-01
1981-11-01, -6.36528762e-01
1981-12-01, -1.02063580e+00
1982-01-01, -5.61623808e-01
1982-02-01, -1.16678042e-01
1982-03-01, -5.46982148e-01
1982-04-01,  5.03619385e-02
1982-05-01,  7.82181087e-01
1982-06-01,  5.91911301e-01
1982-07-01,  5.22827865e-01
1982-08-01,  7.39620896e-01
1982-09-01,  9.44480920e-01
1982-10-01,  1.67886882e+00
1982-11-01,  1.44625071e+00
1982-12-01,  4.75440865e-01
1983-01-01,  5.19008459e-02
1983-02-01,  4.61833111e-01
1983-03-01, -2.75692607e-01
1983-04-01, -1.88468339e-01
1983-05-01,  2.28132912e-01
1983-06-01,  2.19452837e+00
1983-07-01,  2.30899110e+00
1983-08-01,  1.58168770e+00
1983-09-01,  8.90218243e-01
1983-10-01, -1.50162954e-01
1983-11-01, -7.00907905e-01
1983-12-01, -7.20937363e-01
1984-01-01, -1.23850905e+00
1984-02-01, -2.17345834e+00
1984-03-01, -1.16196753e+00
1984-04-01, -3.72723935e-01
1984-05-01, -2.12270723e+00
1984-06-01, -1.91538990e+00
1984-07-01, -2.15791682e+00
1984-08-01, -2.07644542e+00
1984-09-01, -1.48183634e+00
1984-10-01, -1.56418803e+00
1984-11-01, -8.73815321e-01
1984-12-01, -1.19082984e+00
1985-01-01, -6.82315232e-01
1985-02-01, -1.15059972e+00
1985-03-01, -1.01898325e+00
1985-04-01, -6.04338796e-01
1985-05-01, -6.91122210e-01
1985-06-01, -1.93560212e+00
1985-07-01, -1.28818235e+00
1985-08-01, -1.06343576e+00
1985-09-01, -8.46188651e-01
1985-10-01, -1.22164693e+00
1985-11-01, -8.71301042e-01
