# mode: 0
# n_modes: 10
# eofs_start_date: 19790101
# eofs_end_date: 20011201
# rotated: False
# loading_pattern_input_file: jra.55.hgt.500.1958010100_2018123118.anom.month.19790101_20011230.nc
# anomalies_input_file: jra.55.hgt.500.1958010100_2018123118.anom.month.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# calendar: proleptic_gregorian
date,pna_index
1980-10-01,  1.57572671e+00
1980-11-01,  1.12912305e+00
1980-12-01,  2.51865753e-01
1981-01-01,  3.33452423e+00
1981-02-01,  2.46266181e-01
1981-03-01,  1.99442962e+00
1981-04-01, -9.92260814e-01
1981-05-01,  4.22374005e-01
1981-06-01,  1.85673730e-01
1981-07-01, -4.96658952e-01
1981-08-01,  5.10094434e-01
1981-09-01,  4.74436434e-01
1981-10-01, -3.82510018e-01
1981-11-01,  1.25441132e+00
1981-12-01,  5.62845507e-01
1982-01-01, -1.98727162e+00
1982-02-01, -1.94303838e+00
1982-03-01, -2.16389809e+00
1982-04-01, -1.87725983e+00
1982-05-01,  6.93288207e-02
1982-06-01,  5.35159843e-01
1982-07-01,  4.08069583e-01
1982-08-01,  6.64935823e-03
1982-09-01,  8.53111397e-02
1982-10-01, -2.53703758e-01
1982-11-01, -9.20515745e-02
1982-12-01,  4.88279685e-01
1983-01-01,  1.67898547e+00
1983-02-01,  2.77618952e+00
1983-03-01,  2.35474311e+00
1983-04-01, -1.67745441e-01
1983-05-01, -4.58654727e-01
1983-06-01,  7.33465925e-01
1983-07-01,  4.33671135e-01
1983-08-01, -3.62281901e-01
1983-09-01, -5.99697144e-01
1983-10-01, -1.12594179e-01
1983-11-01,  2.24122522e+00
1983-12-01, -6.94545404e-01
1984-01-01, -9.13383036e-01
1984-02-01,  7.30574450e-01
1984-03-01,  1.49602261e+00
1984-04-01,  8.65447108e-01
1984-05-01,  2.49285968e-01
1984-06-01, -5.87592443e-03
1984-07-01, -2.33773405e-01
1984-08-01, -1.39435161e-01
1984-09-01, -4.59137519e-02
1984-10-01,  1.59483350e-01
1984-11-01,  8.00922697e-01
1984-12-01, -2.65669420e+00
1985-01-01,  1.78409179e+00
1985-02-01, -2.19444822e+00
1985-03-01, -1.63459924e+00
1985-04-01, -1.02177020e+00
1985-05-01, -3.42817022e-01
1985-06-01,  5.19466561e-01
1985-07-01,  5.24319177e-02
1985-08-01, -2.69730185e-01
1985-09-01, -3.71422087e-01
1985-10-01, -1.05962993e+00
1985-11-01, -1.23241047e+00
1985-12-01,  1.38629293e+00
1986-01-01,  1.37741540e+00
