# mode: 0
# n_modes: 20
# low_latitude_boundary:   2.00000000e+01
# index_normalization:   1.53412085e+03
# eofs_start_date: 19790101
# eofs_end_date: 20011201
# loading_pattern_input_file: jra.55.hgt.500.1958010100_2018123118.anom.month.19790101_20011230.nc
# anomalies_input_file: jra.55.hgt.500.1958010100_2018123118.anom.month.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# calendar: proleptic_gregorian
date,ao_index
1976-02-01,  2.16957420e+00
1976-03-01,  1.14188169e+00
1976-04-01,  9.25322543e-02
1976-05-01,  1.06886703e-01
1976-06-01,  5.66604745e-01
1976-07-01, -4.37424599e-01
1976-08-01, -1.75416552e-02
1976-09-01, -1.16119843e+00
1976-10-01, -1.19504325e-01
1976-11-01, -4.69067645e-01
1976-12-01, -1.65678116e+00
1977-01-01, -3.78748940e+00
1977-02-01, -2.14961369e+00
1977-03-01,  5.86890132e-01
1977-04-01,  1.03861113e+00
1977-05-01, -2.02242803e-01
1977-06-01, -7.25510319e-01
1977-07-01, -3.27404995e-01
1977-08-01, -9.67473873e-01
1977-09-01,  1.07016963e+00
1977-10-01,  3.31013026e-01
1977-11-01, -3.32592497e-01
1977-12-01,  3.13143231e-01
1978-01-01, -5.39577846e-01
1978-02-01, -3.25431766e+00
1978-03-01,  4.77167905e-01
1978-04-01, -6.63448882e-01
1978-05-01,  4.64038820e-01
1978-06-01,  1.00967223e+00
1978-07-01, -4.03040929e-01
1978-08-01, -2.80371690e-01
1978-09-01, -2.75081035e-01
1978-10-01,  4.22737072e-01
1978-11-01,  2.50622846e+00
1978-12-01, -4.40008021e-01
1979-01-01, -1.78286291e+00
1979-02-01,  9.08073941e-01
1979-03-01, -9.05725173e-01
1979-04-01, -6.45040495e-01
1979-05-01, -4.03215963e-01
1979-06-01,  1.04681794e+00
1979-07-01, -1.07863716e-01
1979-08-01, -5.53968720e-01
1979-09-01, -2.26233639e-01
1979-10-01, -7.52806870e-01
1979-11-01,  4.58621859e-01
1979-12-01,  1.56302135e+00
1980-01-01, -1.44049412e+00
1980-02-01, -1.74823766e+00
1980-03-01, -9.48205741e-01
1980-04-01, -6.37860972e-01
1980-05-01, -1.34479865e+00
1980-06-01,  6.37078454e-01
1980-07-01,  5.61982190e-02
1980-08-01, -8.28039900e-02
1980-09-01,  4.94634789e-01
1980-10-01, -1.38996775e+00
1980-11-01, -9.18801475e-01
1980-12-01, -4.19623779e-01
1981-01-01, -1.75619942e+00
1981-02-01, -4.06154097e-01
1981-03-01, -1.95598998e+00
1981-04-01,  4.48318343e-01
1981-05-01,  7.36816629e-02
1981-06-01, -4.17308113e-01
1981-07-01,  7.32173002e-01
1981-08-01, -4.55563159e-01
1981-09-01, -8.09586910e-01
1981-10-01, -1.20640261e+00
