# n_modes: 24
# season: DJF
# base_period_start_date: 19790101
# base_period_end_date: 20011201
# composites_input_file: jra.55.hgt.500.1958010100_2018123118.rolling_mean.window_length_10.anom.dayofyear.19790101_20011230.nc
# anomalies_input_file: jra.55.hgt.500.1958010100_2018123118.rolling_mean.window_length_10.anom.month.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# calendar: proleptic_gregorian
date,nhtele_index_1,nhtele_index_2,nhtele_index_3,nhtele_index_4
1970-11-01,  4.12800869e-01,  3.62693212e-01, -4.66729621e-02, -1.16132804e+00
1970-12-01, -7.81485709e-02, -4.73794295e-01, -5.16077023e-01,  1.60268537e+00
1971-01-01,  1.42642226e+00, -3.22075491e-01, -1.34600838e+00,  2.81465753e-01
1971-02-01,  1.26710125e-02,  1.65164703e-01, -3.38038234e-02, -3.60253043e-01
1971-03-01,  1.15468932e+00, -1.19399120e+00,  3.81401936e-01, -1.02022103e-01
1971-04-01,  4.22461220e-01, -1.01652252e+00,  3.89928357e-01,  7.49877409e-01
1971-05-01,  3.21348510e-02,  2.72183589e-01, -8.04587701e-01,  5.38124029e-01
1971-06-01,  1.55343203e+00, -1.76267850e+00, -7.17334227e-02,  2.13823556e-01
1971-07-01,  8.94887112e-01,  1.67025218e-03, -1.30842470e+00,  7.72132974e-01
1971-08-01,  1.46803021e-01,  1.51067991e-01, -2.51302874e+00,  1.55971931e+00
1971-09-01, -3.79111886e-01, -2.66544728e-01,  4.47362521e-02,  9.25834378e-01
1971-10-01, -6.14830720e-01,  4.40882631e-01, -3.10936151e-01,  4.43415269e-01
1971-11-01, -2.78378505e-01, -6.22129248e-01,  1.20584845e+00, -7.05093857e-02
1971-12-01, -9.67708585e-01,  9.13539569e-01, -4.35948469e-01,  6.15805255e-01
1972-01-01, -7.88575939e-01,  8.05658584e-01, -1.74247029e+00,  2.09184230e+00
1972-02-01,  1.98194547e-01,  4.87236693e-01, -1.52660937e+00,  1.47738635e+00
1972-03-01, -3.44361915e-01,  2.46716703e-01, -1.32991052e+00,  1.90745776e+00
1972-04-01, -3.92944230e-01,  9.37508041e-01, -6.53569763e-01, -2.43688940e-01
1972-05-01, -1.77399256e-01,  6.08749939e-01, -5.98101933e-01,  1.58094668e-01
1972-06-01, -1.18321760e+00,  1.41788910e+00,  1.08590204e+00, -9.48295416e-01
