date,ao_index,iod_index,mei,nhtele_index_1,nhtele_index_2,nhtele_index_3,nhtele_index_4,pna_index,psa_index_1,psa_index_2,sam_index
1998-03-01,-0.277922199,2.75902591,2.21363528,-0.271848795,-0.537079715,1.76036829,-0.812723718,0.630780405,-0.0837598667,-0.174868706,0.693638127
1998-04-01,-0.0751309972,2.38907477,2.36220755,0.753808114,-0.397906504,0.423573041,-1.22691502,0.0712346209,-0.358628349,-0.596751081,1.84125086
1998-05-01,0.193273864,2.19544438,1.97024392,-0.585594381,-0.4847023,1.72018989,-0.472084842,-0.209460976,0.472012778,-0.617465343,-0.663338274
1998-06-01,-0.762736759,2.11456729,0.163495115,1.71536321,-0.0712283818,-1.48393078,-1.29296382,-0.353149502,0.951325857,-0.399022576,0.795940047
1998-07-01,-0.49764813,0.13351587,-1.48881284,1.4039711,-0.694344906,0.628606447,-1.89580652,0.0985376279,-0.102973925,0.280037995,1.63175728
1998-08-01,0.151232332,0.376333973,-1.94049323,-0.418963069,0.62354382,1.5702181,-1.42060761,-0.142436084,0.410600848,-0.388666069,0.553027113
1998-09-01,-0.458583496,-0.154004665,-1.60792017,1.6972589,-1.363396,-0.0672368215,0.280161344,-0.104113116,0.0432220521,-0.278700595,-0.0208064349
1998-10-01,0.0289286338,-1.00312271,-1.45656733,0.745367578,-0.232124341,-0.169383676,-0.439863028,0.214258526,0.431231475,0.46983865,0.534972657
1998-11-01,-1.43326841,-1.57242578,-1.39648075,1.1642842,-0.395493479,0.245247238,-1.13795581,0.762645272,0.0912135598,-0.398079442,0.884148731
1998-12-01,0.750222527,-1.06360274,-1.31483904,-0.547227881,0.50671975,9.64522818e-05,0.0604093667,-0.986423922,0.119655555,-0.648065493,1.08906534
1999-01-01,0.727874024,-1.17741839,-1.32457065,-0.420919178,0.888066158,-0.479410474,-0.439642281,-1.06506191,0.455743237,-0.518407686,1.13854356
1999-02-01,-0.72070388,-0.14439663,-1.17438828,-0.393080836,-0.979400744,2.32874052,-1.47884392,0.95915591,0.0288151787,-0.248650411,0.426660841
1999-03-01,-1.19681573,0.0871166446,-1.13420616,0.852655261,-1.19918181,0.99977533,-0.384654115,0.159167534,0.423602124,-0.103784373,0.140997768
1999-04-01,0.19359736,-0.653297843,-1.16256199,0.628715068,-0.287099478,-0.0281492084,-0.533540922,-0.617624445,-0.319938726,-0.0317566401,1.14744316
1999-05-01,0.23418292,-2.12792919,-1.36076978,0.23724195,-0.0987664707,0.184855846,-0.539510178,-0.380633745,0.166123773,-0.28333342,1.69782625
1999-06-01,0.71373731,-1.43797746,-1.51310259,-1.25948127,1.33739218,-1.15039144,0.800959592,-0.340884809,0.835207336,0.732529311,-1.28221889
1999-07-01,0.317422975,-0.19041966,-1.36602776,-0.759608799,1.52157696,-1.17040462,0.535747726,-0.763202212,0.328814926,0.287027561,0.203595982
1999-08-01,-0.715074112,-0.191466179,-1.20730889,2.09843236,-1.15413445,0.276795327,-1.16103204,0.491254003,0.194604026,-0.413915884,-0.429874289
1999-09-01,0.0953716619,-0.423296986,-1.37006171,-0.635162269,0.557199815,-0.470954086,0.526068301,0.140355278,0.451674379,-0.338639724,-0.586870065
1999-10-01,0.170359434,-1.14632207,-1.60467644,-0.223346701,0.42677576,-0.238700184,-0.118698364,-0.243760463,0.473439067,-0.829256481,1.11118954
1999-11-01,0.657942211,-0.509646315,-1.41672628,-0.940181439,-0.382212372,0.736083785,0.993480972,-0.07076816,0.414733335,0.259354199,1.14343776
1999-12-01,0.232735602,-0.625778502,-1.51910065,-0.407030486,0.459874022,1.62094842,-2.11657805,-0.277072147,-1.01870861,-0.354038501,1.64429551
2000-01-01,1.25983878,-0.186105929,-1.3843633,-0.705021136,-0.156414199,0.875823386,0.196036359,-1.94237496,-0.992667418,-0.363867185,1.3097946
2000-02-01,0.00537508427,-0.570514233,-1.27781396,-1.10815291,0.658719779,0.946190253,-1.53182287,1.12805868,-0.467250424,-0.290421156,0.65446308
2000-03-01,-1.34974692,-0.770950765,-1.29161062,-0.202312303,-0.533698711,1.50564848,-0.59715348,1.1464423,0.357585204,-0.0281760935,0.526818752
2000-04-01,-0.28338687,-0.893600297,-0.928043272,0.94502745,-0.422198107,-0.730736416,0.259877779,-0.360618498,0.0393920927,0.101861868,0.513764494
2000-05-01,0.955417246,-0.62641201,-1.02539216,-0.891769903,0.0780878163,0.139937972,1.22063587,-0.347459792,0.419820096,-0.311910687,1.00261097
2000-06-01,0.78902941,-0.708010359,-1.31216051,-0.777121339,2.09943276,-1.54420978,-0.647049334,-0.558571916,0.439473769,0.37262957,-0.0236400349
2000-07-01,-0.496039082,0.255946397,-0.7778828,1.7657057,-1.41433447,-0.864877062,1.03975942,0.00555902121,1.09651339,0.0589709963,0.0270319156
2000-08-01,-0.196290616,0.519828554,-0.235530455,1.42789611,-0.530178885,0.0499227389,-0.969551417,-0.420386905,0.413390337,-0.581424579,-1.18287232
2000-09-01,1.00642456,0.485297569,-0.547513035,-0.617806549,0.629315447,-1.14178044,1.32657487,-0.735012681,0.205847061,0.093202584,-1.90881051
2000-10-01,0.371944943,0.368795629,-0.758997128,-1.82368808,1.35414776,-0.658550621,1.03710223,0.315150447,-0.112293161,-0.309085253,0.140969709
2000-11-01,-1.57340077,0.202021722,-1.01444371,0.970563366,-0.0489604363,0.0698434552,-1.26573212,1.07920663,0.383134232,-0.0886259641,-1.51084696
2000-12-01,-2.32318901,0.174371065,-0.985470034,1.35147829,-0.0946689857,-1.72577212,0.0269638681,1.5354571,-0.0651547245,0.197695147,-1.06690298
2001-01-01,-0.847965342,0.207134035,-0.94975213,0.61653356,-0.428262188,-0.0146622598,-0.0851450821,1.54389122,-0.153803731,0.209241876,-0.0933103325
2001-02-01,-0.440154849,0.373943757,-0.931617397,0.0941780543,0.119891275,-0.38687423,0.315670682,-0.771950212,-0.0855712534,0.236166917,-0.275703086
2001-03-01,-1.1845836,0.903449292,-0.903059613,2.25804451,-0.971293398,-0.496356957,-1.34573045,0.0686909187,-0.0666188394,0.196668798,-0.249959914
2001-04-01,1.08333675,0.603099687,-0.718220411,-0.317401064,0.578457797,0.165946745,-0.876422127,-1.14753764,-0.0565472558,-0.88213907,0.244566357
2001-05-01,0.0277141819,0.61905937,-0.729025066,0.335013485,-0.755654779,-0.0699517202,0.629941037,-0.00740274989,0.381103688,0.970473308,-0.374490819
2001-06-01,0.0593274452,0.21473069,-0.891304043,0.544936324,-0.214426086,0.465363353,-0.821851075,-0.566090343,0.246774372,-0.226702402,0.0835627785
2001-07-01,0.275252718,0.249069671,-0.309156925,-0.031971173,1.41837313,-0.832487336,-0.831843566,-0.221880869,0.302919888,-0.702583884,-1.32957518
2001-08-01,0.330501383,0.589161509,0.205673263,-0.551071641,0.900523504,-0.199012119,-0.247971582,-0.308224245,-0.800938766,0.80807666,0.644459954
2001-09-01,-0.627067191,1.21895817,-0.229357963,0.105831124,-1.59909987,1.36933345,0.834006563,0.290759099,0.48391075,-0.720492013,0.911769824
2001-10-01,0.655994567,0.684266574,-0.462717172,0.516762105,-0.241353163,-1.07155722,1.00250521,-0.547162126,-0.0390653924,0.369353155,1.33061
2001-11-01,-0.0949217583,0.841349498,-0.423224202,-0.922212315,-1.08832747,2.51726338,-0.0563218098,1.26027672,-0.349962766,0.21159547,1.13037197
2001-12-01,-1.79233431,1.84092974,-0.210840984,0.425460576,-1.80019338,0.94044207,1.21127854,0.957091721,-0.083187697,0.582506845,1.54774369
2002-01-01,1.34381474,1.66562354,-0.189169841,0.310302652,-0.204751845,-0.437376703,0.528347493,-1.2726974,-0.000986551355,-0.00863114057,0.785517144
2002-02-01,1.14613242,0.515248242,-0.456356533,-0.605021725,0.792317656,0.266341896,-1.44455908,-0.189306001,-0.227749399,-0.282435025,1.26712891
2002-03-01,0.456994085,0.595055059,-0.434086015,0.122604058,1.1167252,-1.37995614,-0.630023435,-1.73944692,-0.114409659,0.364800766,-2.26217778
